"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"780","CHPF","ENSG00000123989","Chondroitin polymerizing factor","Q8IZ52","Intracellular and membrane"
"781","INHA","ENSG00000123999","Inhibin subunit alpha","P05111","Secreted to blood"
"782","PI3","ENSG00000124102","Peptidase inhibitor 3","P19957","Secreted to blood"
"783","SLPI","ENSG00000124107","Secretory leukocyte peptidase inhibitor","P03973","Secreted to blood"
"784","WFDC3","ENSG00000124116","WAP four-disulfide core domain 3","Q8IUB2","Secreted in male reproductive system"
"785","SDC4","ENSG00000124145","Syndecan 4","P31431","Secreted to blood"
"786","PIGT","ENSG00000124155","Phosphatidylinositol glycan anchor biosynthesis class T","Q969N2","Intracellular and membrane"
"787","SEMG2","ENSG00000124157","Semenogelin 2","Q02383","Secreted in male reproductive system"
"788","MATN4","ENSG00000124159","Matrilin 4","O95460","Secreted to extracellular matrix"
"789","EDN3","ENSG00000124205","Endothelin 3","P14138","Secreted to blood"
"790","PMEPA1","ENSG00000124225","Prostate transmembrane protein, androgen induced 1","Q969W9","Intracellular and membrane"
"791","SEMG1","ENSG00000124233","Semenogelin 1","P04279","Secreted in male reproductive system"
"792","CHST8","ENSG00000124302","Carbohydrate sulfotransferase 8","Q9H2A9","Intracellular and membrane"
"793","IL9R","ENSG00000124334","Interleukin 9 receptor","Q01113","Intracellular and membrane"
"794","MCEE","ENSG00000124370","Methylmalonyl-CoA epimerase","Q96PE7","Intracellular and membrane"
"795","IL17C","ENSG00000124391","Interleukin 17C","Q9P0M4","Secreted to blood"
"796","PSG8","ENSG00000124467","Pregnancy specific beta-1-glycoprotein 8","Q9UQ74","Secreted in female reproductive system"
"797","CEACAM8","ENSG00000124469","CEA cell adhesion molecule 8","P31997","Intracellular and membrane"
"798","NDP","ENSG00000124479","Norrin cystine knot growth factor NDP","Q00604","Secreted to extracellular matrix"
"799","CRISP2","ENSG00000124490","Cysteine rich secretory protein 2","P16562","Secreted in male reproductive system"
"800","F13A1","ENSG00000124491","Coagulation factor XIII A chain","P00488","Secreted to blood"
"801","BTN1A1","ENSG00000124557","Butyrophilin subfamily 1 member A1","Q13410","Intracellular and membrane"
"802","TREM1","ENSG00000124731","Triggering receptor expressed on myeloid cells 1","Q9NP99","Secreted to blood"
"803","COL21A1","ENSG00000124749","Collagen type XXI alpha 1 chain","Q96P44","Secreted to extracellular matrix"
"804","CRISP1","ENSG00000124812","Cysteine rich secretory protein 1","P54107","Secreted in male reproductive system"
"805","CXCL6","ENSG00000124875","C-X-C motif chemokine ligand 6","P80162","Secreted to blood"
"806","EREG","ENSG00000124882","Epiregulin","O14944","Secreted to blood"
"807","SCGB1D2","ENSG00000124935","Secretoglobin family 1D member 2","O95969","Secreted in other tissues"
"808","SCGB2A1","ENSG00000124939","Secretoglobin family 2A member 1","O75556","Secreted in other tissues"
"809","WNT1","ENSG00000125084","Wnt family member 1","P04628","Secreted to extracellular matrix"
"810","GOT2","ENSG00000125166","Glutamic-oxaloacetic transaminase 2","P00505","Intracellular and membrane"
"811","AMELX","ENSG00000125363","Amelogenin X-linked","Q99217","Secreted in other tissues"
"812","BMP4","ENSG00000125378","Bone morphogenetic protein 4","P12644","Secreted to blood"
"813","IL1B","ENSG00000125538","Interleukin 1 beta","P01584","Secreted to blood"
"814","PLGLB2","ENSG00000125551","Plasminogen like B2","Q02325","Secreted to blood"
"815","IL37","ENSG00000125571","Interleukin 37","Q9NZH6","Secreted to blood"
"816","PSPN","ENSG00000125650","Persephin","O60542","Secreted in other tissues"
"817","GRIA3","ENSG00000125675","Glutamate ionotropic receptor AMPA type subunit 3","P42263","Intracellular and membrane"
"818","C3","ENSG00000125730","Complement C3","P01024","Secreted to blood"
"819","TNFSF14","ENSG00000125735","TNF superfamily member 14","O43557","Secreted to blood"
"820","GNRH2","ENSG00000125787","Gonadotropin releasing hormone 2","O43555","Secreted to blood"
"821","DEFB126","ENSG00000125788","Defensin beta 126","Q9BYW3","Secreted in male reproductive system"
"822","CST8","ENSG00000125815","Cystatin 8","O60676","Secreted in male reproductive system"
"823","CSTL1","ENSG00000125823","Cystatin like 1","Q9H114","Secreted in male reproductive system"
"824","CST11","ENSG00000125831","Cystatin 11","Q9H112","Secreted in male reproductive system"
"825","BMP2","ENSG00000125845","Bone morphogenetic protein 2","P12643","Secreted to blood"
"826","FLRT3","ENSG00000125848","Fibronectin leucine rich transmembrane protein 3","Q9NZU0","Intracellular and membrane"
"827","PCSK2","ENSG00000125851","Proprotein convertase subtilisin/kexin type 2","P16519","Secreted in other tissues"
"828","GFRA4","ENSG00000125861","GDNF family receptor alpha 4","Q9GZZ7","Intracellular and membrane"
"829","OTOR","ENSG00000125879","Otoraplin","Q9NRC9","Secreted in other tissues"
"830","SIRPD","ENSG00000125900","Signal regulatory protein delta","Q9H106","Secreted in male reproductive system"
"831","DEFB129","ENSG00000125903","Defensin beta 129","Q9H1M3","Secreted in male reproductive system"
"832","GDF5","ENSG00000125965","Growth differentiation factor 5","P43026","Secreted to blood"
"833","MMP24","ENSG00000125966","Matrix metallopeptidase 24","Q9Y5R2","Secreted to extracellular matrix"
"834","NECAB3","ENSG00000125967","N-terminal EF-hand calcium binding protein 3","Q96P71","Intracellular and membrane"
"835","ID1","ENSG00000125968","Inhibitor of DNA binding 1","P41134","Intracellular and membrane"
"836","BPIFB1","ENSG00000125999","BPI fold containing family B member 1","Q8TDL5","Secreted in other tissues"
"837","ST3GAL3","ENSG00000126091","ST3 beta-galactoside alpha-2,3-sialyltransferase 3","Q11203","Intracellular and membrane"
"838","MCF2L","ENSG00000126217","MCF.2 cell line derived transforming sequence like","O15068","Intracellular and membrane"
"839","F10","ENSG00000126218","Coagulation factor X","P00742","Secreted to blood"
"840","PROZ","ENSG00000126231","Protein Z, vitamin K dependent plasma glycoprotein","P22891","Secreted to blood"
"841","SLURP1","ENSG00000126233","Secreted LY6/PLAUR domain containing 1","P55000","Secreted in other tissues"
"842","IGFLR1","ENSG00000126246","IGF like family receptor 1","Q9H665","Intracellular and membrane"
"843","KIRREL2","ENSG00000126259","Kirre like nephrin family adhesion molecule 2","Q6UWL6","Intracellular and membrane"
"844","CSN1S1","ENSG00000126545","Casein alpha s1","P47710","Secreted in female reproductive system"
"845","STATH","ENSG00000126549","Statherin","P02808","Secreted to digestive system"
"846","HTN1","ENSG00000126550","Histatin 1","P15515","Secreted to digestive system"
"847","CFP","ENSG00000126759","Complement factor properdin","P27918","Secreted to blood"
"848","PZP","ENSG00000126838","PZP alpha-2-macroglobulin like","P20742","Secreted to blood"
"849","OMG","ENSG00000126861","Oligodendrocyte myelin glycoprotein","P23515","Intracellular and membrane"
"850","FAM78A","ENSG00000126882","Family with sequence similarity 78 member A","Q5JUQ0","Intracellular and membrane"
"851","OMD","ENSG00000127083","Osteomodulin","Q99983","Secreted in other tissues"
"852","EDN2","ENSG00000127129","Endothelin 2","P20800","Secreted to blood"
"853","MASP1","ENSG00000127241","MBL associated serine protease 1","P48740","Secreted to blood"
"854","IL22","ENSG00000127318","Interleukin 22","Q9GZX6","Secreted to blood"
"855","IDUA","ENSG00000127415","Alpha-L-iduronidase","P35475","Intracellular and membrane"
"856","PLA2G5","ENSG00000127472","Phospholipase A2 group V","P39877","Secreted in other tissues"
"857","GFER","ENSG00000127554","Growth factor, augmenter of liver regeneration","P55789","Secreted to blood"
"858","WFIKKN1","ENSG00000127578","WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1","Q96NZ8","Secreted in other tissues"
"859","IL17B","ENSG00000127743","Interleukin 17B","Q9UHF5","Secreted to blood"
"860","FGL2","ENSG00000127951","Fibrinogen like 2","Q14314","Secreted to blood"
"861","SPINK2","ENSG00000128040","Serine peptidase inhibitor Kazal type 2","P20155","Secreted to blood"
"862","KDR","ENSG00000128052","Kinase insert domain receptor","P35968","Intracellular and membrane"
"863","ADM2","ENSG00000128165","Adrenomedullin 2","Q7Z4H4","Secreted to blood"
"864","VPREB3","ENSG00000128218","V-set pre-B cell surrogate light chain 3","Q9UKI3","Intracellular and membrane"
"865","SDF2L1","ENSG00000128228","Stromal cell derived factor 2 like 1","Q9HCN8","Intracellular and membrane"
"866","GAL3ST1","ENSG00000128242","Galactose-3-O-sulfotransferase 1","Q99999","Intracellular and membrane"
"867","MGAT3","ENSG00000128268","Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase","Q09327","Intracellular and membrane"
"868","APOL3","ENSG00000128284","Apolipoprotein L3","O95236","Intracellular and membrane"
"869","TPST2","ENSG00000128294","Tyrosylprotein sulfotransferase 2","O60704","Intracellular and membrane"
"870","IGLL1","ENSG00000128322","Immunoglobulin lambda like polypeptide 1","P15814","Secreted to blood"
"871","LIF","ENSG00000128342","LIF interleukin 6 family cytokine","P15018","Secreted in other tissues"
"872","CPA4","ENSG00000128510","Carboxypeptidase A4","Q9UI42","Secreted in other tissues"
"873","VGF","ENSG00000128564","VGF nerve growth factor inducible","O15240","Secreted to blood"
"874","DNAJB9","ENSG00000128590","DnaJ heat shock protein family (Hsp40) member B9","Q9UBS3","Intracellular and membrane"
"875","CALU","ENSG00000128595","Calumenin","O43852","Intracellular and membrane"
"876","LRRC17","ENSG00000128606","Leucine rich repeat containing 17","Q8N6Y2","Secreted in other tissues"
"877","MTX2","ENSG00000128654","Metaxin 2","O75431","Intracellular and membrane"
"878","PDE11A","ENSG00000128655","Phosphodiesterase 11A","Q9HCR9","Intracellular and membrane"
"879","TWSG1","ENSG00000128791","Twisted gastrulation BMP signaling modulator 1","Q9GZX9","Secreted - unknown location"
"880","ISLR","ENSG00000129009","Immunoglobulin superfamily containing leucine rich repeat","O14498","Secreted - unknown location"
"881","LOXL1","ENSG00000129038","Lysyl oxidase like 1","Q08397","Secreted to extracellular matrix"
"882","SUMF2","ENSG00000129103","Sulfatase modifying factor 2","Q8NBJ7","Intracellular and membrane"
"883","SHBG","ENSG00000129214","Sex hormone binding globulin","P04278","Secreted to blood"
"884","KLK14","ENSG00000129437","Kallikrein related peptidase 14","Q9P0G3","Secreted in other tissues"
"885","KLK10","ENSG00000129451","Kallikrein related peptidase 10","O43240","Secreted in other tissues"
"886","KLK8","ENSG00000129455","Kallikrein related peptidase 8","O60259","Secreted in other tissues"
"887","RNASE1","ENSG00000129538","Ribonuclease A family member 1, pancreatic","P07998","Secreted to digestive system"
"888","ITFG1","ENSG00000129636","Integrin alpha FG-GAP repeat containing 1","Q8TB96","Intracellular and membrane"
"889","AANAT","ENSG00000129673","Aralkylamine N-acetyltransferase","Q16613","Intracellular and membrane"
"890","MAU2","ENSG00000129933","MAU2 sister chromatid cohesion factor","Q9Y6X3","Intracellular and membrane"
"891","INS-IGF2","ENSG00000129965","INS-IGF2 readthrough","F8WCM5","Secreted to digestive system"
"892","LBP","ENSG00000129988","Lipopolysaccharide binding protein","P18428","Secreted to blood"
"893","GALNT8","ENSG00000130035","Polypeptide N-acetylgalactosaminyltransferase 8","Q9NY28","Intracellular and membrane"
"894","ANGPTL8","ENSG00000130173","Angiopoietin like 8","Q6UXH0","Secreted to blood"
"895","PRKCSH","ENSG00000130175","Protein kinase C substrate 80K-H","P14314","Intracellular and membrane"
"896","THEM6","ENSG00000130193","Thioesterase superfamily member 6","Q8WUY1","Secreted - unknown location"
"897","APOE","ENSG00000130203","Apolipoprotein E","P02649","Secreted to blood"
"898","APOC1","ENSG00000130208","Apolipoprotein C1","P02654","Secreted to blood"
"899","ACE2","ENSG00000130234","Angiotensin converting enzyme 2","Q9BYF1","Secreted to blood"
"900","GDF1","ENSG00000130283","Growth differentiation factor 1","P27539","Secreted to blood"
"901","NCAN","ENSG00000130287","Neurocan","O14594","Secreted in brain"
"902","COLGALT1","ENSG00000130309","Collagen beta(1-O)galactosyltransferase 1","Q8NBJ5","Intracellular and membrane"
"903","BMP15","ENSG00000130385","Bone morphogenetic protein 15","O95972","Secreted in other tissues"
"904","NDUFA10","ENSG00000130414","NADH:ubiquinone oxidoreductase subunit A10","O95299","Intracellular and membrane"
"905","EPO","ENSG00000130427","Erythropoietin","P01588","Secreted to blood"
"906","PXDN","ENSG00000130508","Peroxidasin","Q92626","Secreted to extracellular matrix"
"907","GDF15","ENSG00000130513","Growth differentiation factor 15","Q99988","Secreted to blood"
"908","HRC","ENSG00000130528","Histidine rich calcium binding protein","P23327","Intracellular and membrane"
"909","OLFM1","ENSG00000130558","Olfactomedin 1","Q99784","Secreted in brain"
"910","COL5A1","ENSG00000130635","Collagen type V alpha 1 chain","P20908","Secreted to extracellular matrix"
"911","CYP 20.00","ENSG00000130649","Cytochrome P450 family 2 subfamily E member 1","P05181","Intracellular and membrane"
"912","LAMA5","ENSG00000130702","Laminin subunit alpha 5","O15230","Secreted to extracellular matrix"
"913","PRDM12","ENSG00000130711","PR/SET domain 12","Q9H4Q4","Intracellular and membrane"
"914","TRIM28","ENSG00000130726","Tripartite motif containing 28","Q13263","Intracellular and membrane"
"915","SMPDL3B","ENSG00000130768","Sphingomyelin phosphodiesterase acid like 3B","Q92485","Secreted to blood"
"916","ANGPTL6","ENSG00000130812","Angiopoietin like 6","Q8NI99","Secreted to blood"
"917","ULBP2","ENSG00000131015","UL16 binding protein 2","Q9BZM5","Secreted in other tissues"
"918","ULBP3","ENSG00000131019","UL16 binding protein 3","Q9BZM4","Intracellular and membrane"
"919","BPIFA2","ENSG00000131050","BPI fold containing family A member 2","Q96DR5","Secreted to digestive system"
"920","BPIFA3","ENSG00000131059","BPI fold containing family A member 3","Q9BQP9","Secreted in male reproductive system"
"921","DEFB118","ENSG00000131068","Defensin beta 118","Q96PH6","Secreted in male reproductive system"
"922","C1QL1","ENSG00000131094","Complement C1q like 1","O75973","Secreted in brain"
"923","PYY","ENSG00000131096","Peptide YY","P10082","Secreted to blood"
"924","TEX101","ENSG00000131126","Testis expressed 101","Q9BY14","Secreted in male reproductive system"
"925","CCL25","ENSG00000131142","C-C motif chemokine ligand 25","O15444","Secreted to blood"
"926","F12","ENSG00000131187","Coagulation factor XII","P00748","Secreted to blood"
"927","PPT1","ENSG00000131238","Palmitoyl-protein thioesterase 1","P50897","Intracellular and membrane"
"928","ADGRE3","ENSG00000131355","Adhesion G protein-coupled receptor E3","Q9BY15","Secreted to blood"
"929","GALNT15","ENSG00000131386","Polypeptide N-acetylgalactosaminyltransferase 15","Q8N3T1","Intracellular and membrane"
"930","NAPSA","ENSG00000131400","Napsin A aspartic peptidase","O96009","Secreted in other tissues"
"931","AOC3","ENSG00000131471","Amine oxidase copper containing 3","Q16853","Secreted - unknown location"
"932","AOC2","ENSG00000131480","Amine oxidase copper containing 2","O75106","Intracellular and membrane"
"933","NDFIP1","ENSG00000131507","Nedd4 family interacting protein 1","Q9BT67","Intracellular and membrane"
"934","KREMEN2","ENSG00000131650","Kringle containing transmembrane protein 2","Q8NCW0","Intracellular and membrane"
"935","NINJ1","ENSG00000131669","Ninjurin 1","Q92982","Intracellular and membrane"
"936","CA6","ENSG00000131686","Carbonic anhydrase 6","P23280","Secreted to digestive system"
"937","IL13RA1","ENSG00000131724","Interleukin 13 receptor subunit alpha 1","P78552","Intracellular and membrane"
"938","FSHB","ENSG00000131808","Follicle stimulating hormone subunit beta","P01225","Secreted to blood"
"939","CHSY1","ENSG00000131873","Chondroitin sulfate synthase 1","Q86X52","Secreted to blood"
"940","LGALS3","ENSG00000131981","Galectin 3","P17931","Secreted to blood"
"941","PODNL1","ENSG00000132000","Podocan like 1","Q6PEZ8","Secreted - unknown location"
"942","RTBDN","ENSG00000132026","Retbindin","Q9BSG5","Secreted in other tissues"
"943","MATN3","ENSG00000132031","Matrilin 3","O15232","Secreted to extracellular matrix"
"944","SPATA6","ENSG00000132122","Spermatogenesis associated 6","Q9NWH7","Intracellular and membrane"
"945","FCRLA","ENSG00000132185","Fc receptor like A","Q7L513","Intracellular and membrane"
"946","EMILIN2","ENSG00000132205","Elastin microfibril interfacer 2","Q9BXX0","Secreted to extracellular matrix"
"947","HHLA1","ENSG00000132297","HERV-H LTR-associating 1","C9JL84","Secreted - unknown location"
"948","MRPL35","ENSG00000132313","Mitochondrial ribosomal protein L35","Q9NZE8","Intracellular and membrane"
"949","SERPINF1","ENSG00000132386","Serpin family F member 1","P36955","Secreted to blood"
"950","ENAM","ENSG00000132464","Enamelin","Q9NRM1","Secreted to extracellular matrix"
"951","JCHAIN","ENSG00000132465","Joining chain of multimeric IgA and IgM","P01591","Secreted to blood"
"952","DLG4","ENSG00000132535","Discs large MAGUK scaffold protein 4","P78352","Intracellular and membrane"
"953","MATN2","ENSG00000132561","Matrilin 2","O00339","Secreted to extracellular matrix"
"954","SDF2","ENSG00000132581","Stromal cell derived factor 2","Q99470","Intracellular and membrane"
"955","BCAN","ENSG00000132692","Brevican","Q96GW7","Secreted in brain"
"956","CRP","ENSG00000132693","C-reactive protein","P02741","Secreted to blood"
"957","HAPLN2","ENSG00000132702","Hyaluronan and proteoglycan link protein 2","Q9GZV7","Secreted in brain"
"958","APCS","ENSG00000132703","Amyloid P component, serum","P02743","Secreted to blood"
"959","VSTM2L","ENSG00000132821","V-set and transmembrane domain containing 2 like","Q96N03","Secreted - unknown location"
"960","ZBED3","ENSG00000132846","Zinc finger BED-type containing 3","Q96IU2","Secreted to blood"
"961","ANGPTL3","ENSG00000132855","Angiopoietin like 3","Q9Y5C1","Secreted to blood"
"962","CHI3L1","ENSG00000133048","Chitinase 3 like 1","P36222","Secreted to blood"
"963","CHIT1","ENSG00000133063","Chitinase 1","Q13231","Secreted to blood"
"964","POSTN","ENSG00000133110","Periostin","Q15063","Secreted to extracellular matrix"
"965","KL","ENSG00000133116","Klotho","Q9UEF7","Secreted to blood"
"966","EPHB2","ENSG00000133216","EPH receptor B2","P29323","Intracellular and membrane"
"967","PDZD2","ENSG00000133401","PDZ domain containing 2","O15018","Intracellular and membrane"
"968","C1QTNF6","ENSG00000133466","C1q and TNF related 6","Q9BXI9","Secreted to blood"
"969","NTS","ENSG00000133636","Neurotensin","P30990","Secreted to digestive system"
"970","SFTPD","ENSG00000133661","Surfactant protein D","P35247","Secreted in other tissues"
"971","SPINK5","ENSG00000133710","Serine peptidase inhibitor Kazal type 5","Q9NQ38","Secreted in other tissues"
"972","BMAL1","ENSG00000133794","Basic helix-loop-helix ARNT like 1","O00327","Intracellular and membrane"
"973","LOXL2","ENSG00000134013","Lysyl oxidase like 2","Q9Y4K0","Secreted to extracellular matrix"
"974","PEBP4","ENSG00000134020","Phosphatidylethanolamine binding protein 4","Q96S96","Secreted in other tissues"
"975","ADAMDEC1","ENSG00000134028","ADAM like decysin 1","O15204","Secreted in other tissues"
"976","CHL1","ENSG00000134121","Cell adhesion molecule L1 like","O00533","Secreted in brain"
"977","REG4","ENSG00000134193","Regenerating family member 4","Q9BYZ8","Secreted to digestive system"
"978","TSHB","ENSG00000134200","Thyroid stimulating hormone subunit beta","P01222","Secreted to blood"
"979","CHIA","ENSG00000134216","Chitinase acidic","Q9BZP6","Intracellular and membrane"
"980","WNT2B","ENSG00000134245","Wnt family member 2B","Q93097","Secreted to extracellular matrix"
"981","NGF","ENSG00000134259","Nerve growth factor","P01138","Secreted in other tissues"
"982","SAA2","ENSG00000134339","Serum amyloid A2","P0DJI9","Secreted to blood"
"983","IL6ST","ENSG00000134352","Interleukin 6 cytokine family signal transducer","P40189","Secreted to blood"
"984","FST","ENSG00000134363","Follistatin","P19883","Secreted to blood"
"985","CFHR4","ENSG00000134365","Complement factor H related 4","Q92496","Secreted to blood"
"986","CRB1","ENSG00000134376","Crumbs cell polarity complex component 1","P82279","Secreted in brain"
"987","CFHR5","ENSG00000134389","Complement factor H related 5","Q9BXR6","Secreted to blood"
"988","ERN 2.00","ENSG00000134398","Endoplasmic reticulum to nucleus signaling 2","Q76MJ5","Intracellular and membrane"
"989","GRP","ENSG00000134443","Gastrin releasing peptide","P07492","Secreted in other tissues"
"990","IL15RA","ENSG00000134470","Interleukin 15 receptor subunit alpha","Q13261","Secreted to blood"
"991","CABLES1","ENSG00000134508","Cdk5 and Abl enzyme substrate 1","Q8TDN4","Intracellular and membrane"
"992","SPX","ENSG00000134548","Spexin hormone","Q9BT56","Secreted to blood"
"993","PRH2","ENSG00000134551","Proline rich protein HaeIII subfamily 2","P02810","Secreted to digestive system"
"994","CYP2J2","ENSG00000134716","Cytochrome P450 family 2 subfamily J member 2","P51589","Intracellular and membrane"
"995","FHOD3","ENSG00000134775","Formin homology 2 domain containing 3","Q2V2M9","Intracellular and membrane"
"996","CBLIF","ENSG00000134812","Cobalamin binding intrinsic factor","P27352","Secreted to digestive system"
"997","TCN1","ENSG00000134827","Transcobalamin 1","P20061","Secreted to blood"
"998","PDGFRA","ENSG00000134853","Platelet derived growth factor receptor alpha","P16234","Intracellular and membrane"
"999","COL4A2","ENSG00000134871","Collagen type IV alpha 2 chain","P08572","Secreted to extracellular matrix"
"1000","POGLUT2","ENSG00000134901","Protein O-glucosyltransferase 2","Q6UW63","Intracellular and membrane"
"1001","ADAMTS8","ENSG00000134917","ADAM metallopeptidase with thrombospondin type 1 motif 8","Q9UP79","Secreted to extracellular matrix"
"1002","ACRV1","ENSG00000134940","Acrosomal vesicle protein 1","P26436","Secreted in male reproductive system"
"1003","ANXA1","ENSG00000135046","Annexin A1","P04083","Secreted to blood"
"1004","CTSL","ENSG00000135047","Cathepsin L","P07711","Intracellular and membrane"
"1005","GOLM1","ENSG00000135052","Golgi membrane protein 1","Q8NBJ4","Intracellular and membrane"
"1006","CSN2","ENSG00000135222","Casein beta","P05814","Secreted in female reproductive system"
"1007","UGT2B28","ENSG00000135226","UDP glucuronosyltransferase family 2 member B28","Q9BY64","Intracellular and membrane"
"1008","HILPDA","ENSG00000135245","Hypoxia inducible lipid droplet associated","Q9Y5L2","Intracellular and membrane"
"1009","KCP","ENSG00000135253","Kielin cysteine rich BMP regulator","Q6ZWJ8","Secreted in other tissues"
"1010","MDFIC","ENSG00000135272","MyoD family inhibitor domain containing","Q9P1T7","Intracellular and membrane"
"1011","NT5E","ENSG00000135318","5'-nucleotidase ecto","P21589","Intracellular and membrane"
"1012","EPHA7","ENSG00000135333","EPH receptor A7","Q15375","Intracellular and membrane"
"1013","CGA","ENSG00000135346","Glycoprotein hormones, alpha polypeptide","P01215","Secreted to blood"
"1014","EHF","ENSG00000135373","ETS homologous factor","Q9NZC4","Intracellular and membrane"
"1015","CD63","ENSG00000135404","CD63 molecule","P08962","Intracellular and membrane"
"1016","LACRT","ENSG00000135413","Lacritin","Q9GZZ8","Secreted to digestive system"
"1017","GDF11","ENSG00000135414","Growth differentiation factor 11","O95390","Secreted to blood"
"1018","RDH5","ENSG00000135437","Retinol dehydrogenase 5","Q92781","Intracellular and membrane"
"1019","B4GALNT1","ENSG00000135454","Beta-1,4-N-acetyl-galactosaminyltransferase 1","Q00973","Intracellular and membrane"
"1020","OS9","ENSG00000135506","OS9 endoplasmic reticulum lectin","Q13438","Intracellular and membrane"
"1021","CD164","ENSG00000135535","CD164 molecule","Q04900","Intracellular and membrane"
"1022","AFG1L","ENSG00000135537","AFG1 like ATPase","Q8WV93","Intracellular and membrane"
"1023","PRADC1","ENSG00000135617","Protease associated domain containing 1","Q9BSG0","Secreted to blood"
"1024","GNS","ENSG00000135677","Glucosamine (N-acetyl)-6-sulfatase","P15586","Intracellular and membrane"
"1025","CHST5","ENSG00000135702","Carbohydrate sulfotransferase 5","Q9GZS9","Intracellular and membrane"
"1026","AGT","ENSG00000135744","Angiotensinogen","P01019","Secreted to blood"
"1027","LAMC1","ENSG00000135862","Laminin subunit gamma 1","P11047","Secreted to extracellular matrix"
"1028","SERPINE2","ENSG00000135919","Serpin family E member 2","P07093","Secreted in female reproductive system"
"1029","WNT10A","ENSG00000135925","Wnt family member 10A","Q9GZT5","Secreted to extracellular matrix"
"1030","CNMD","ENSG00000136110","Chondromodulin","O75829","Secreted to extracellular matrix"
"1031","THSD1","ENSG00000136114","Thrombospondin type 1 domain containing 1","Q9NS62","Intracellular and membrane"
"1032","ITM2B","ENSG00000136156","Integral membrane protein 2B","Q9Y287","Secreted to blood"
"1033","GPNMB","ENSG00000136235","Glycoprotein nmb","Q14956","Intracellular and membrane"
"1034","RAPGEF5","ENSG00000136237","Rap guanine nucleotide exchange factor 5","Q92565","Intracellular and membrane"
"1035","IL6","ENSG00000136244","Interleukin 6","P05231","Secreted to blood"
"1036","AOAH","ENSG00000136250","Acyloxyacyl hydrolase","P28039","Secreted to blood"
"1037","ADAMTS7","ENSG00000136378","ADAM metallopeptidase with thrombospondin type 1 motif 7","Q9UKP4","Secreted to extracellular matrix"
"1038","CHAD","ENSG00000136457","Chondroadherin","O15335","Secreted to extracellular matrix"
"1039","GH2","ENSG00000136487","Growth hormone 2","P01242","Secreted to blood"
"1040","CSH1","ENSG00000136488","Chorionic somatomammotropin hormone 1","P0DML2","Secreted to blood"
"1041","NDUFB5","ENSG00000136521","NADH:ubiquinone oxidoreductase subunit B5","O43674","Intracellular and membrane"
"1042","IL10","ENSG00000136634","Interleukin 10","P22301","Secreted to blood"
"1043","IL36G","ENSG00000136688","Interleukin 36 gamma","Q9NZH8","Secreted to blood"
"1044","IL1RN","ENSG00000136689","Interleukin 1 receptor antagonist","P18510","Secreted to blood"
"1045","IL36A","ENSG00000136694","Interleukin 36 alpha","Q9UHA7","Secreted to blood"
"1046","IL36RN","ENSG00000136695","Interleukin 36 receptor antagonist","Q9UBH0","Secreted to blood"
"1047","IL36B","ENSG00000136696","Interleukin 36 beta","Q9NZH7","Secreted to blood"
"1048","IL1F10","ENSG00000136697","Interleukin 1 family member 10","Q8WWZ1","Secreted to blood"
"1049","CFC1","ENSG00000136698","Cripto, FRL-1, cryptic family 1","P0CG37","Secreted - unknown location"
"1050","HS6ST1","ENSG00000136720","Heparan sulfate 6-O-sulfotransferase 1","O60243","Intracellular and membrane"
"1051","TXN","ENSG00000136810","Thioredoxin","P10599","Intracellular and membrane"
"1052","TOR1B","ENSG00000136816","Torsin family 1 member B","O14657","Intracellular and membrane"
"1053","TOR1A","ENSG00000136827","Torsin family 1 member A","O14656","Intracellular and membrane"
"1054","ANGPTL2","ENSG00000136859","Angiopoietin like 2","Q9UKU9","Secreted to blood"
"1055","TLR4","ENSG00000136869","Toll like receptor 4","O00206","Intracellular and membrane"
"1056","FPGS","ENSG00000136877","Folylpolyglutamate synthase","Q05932","Intracellular and membrane"
"1057","CTSV","ENSG00000136943","Cathepsin V","O60911","Intracellular and membrane"
"1058","ENPP2","ENSG00000136960","Ectonucleotide pyrophosphatase/phosphodiesterase 2","Q13822","Secreted to blood"
"1059","CCN3","ENSG00000136999","Cellular communication network factor 3","P48745","Secreted to blood"
"1060","IL33","ENSG00000137033","Interleukin 33","O95760","Secreted to blood"
"1061","IL11RA","ENSG00000137070","Interleukin 11 receptor subunit alpha","Q14626","Secreted to blood"
"1062","CCL21","ENSG00000137077","C-C motif chemokine ligand 21","O00585","Secreted to blood"
"1063","IFNA21","ENSG00000137080","Interferon alpha 21","P01568","Secreted to blood"
"1064","HINT2","ENSG00000137133","Histidine triad nucleotide binding protein 2","Q9BX68","Intracellular and membrane"
"1065","IGFBPL1","ENSG00000137142","Insulin like growth factor binding protein like 1","Q8WX77","Secreted to blood"
"1066","CNPY3","ENSG00000137161","Canopy FGF signaling regulator 3","Q9BT09","Intracellular and membrane"
"1067","TINAG","ENSG00000137251","Tubulointerstitial nephritis antigen","Q9UJW2","Secreted to extracellular matrix"
"1068","KIAA0319","ENSG00000137261","KIAA0319","Q5VV43","Secreted in brain"
"1069","ATAT1","ENSG00000137343","Alpha tubulin acetyltransferase 1","Q5SQI0","Intracellular and membrane"
"1070","CLPS","ENSG00000137392","Colipase","P04118","Secreted to digestive system"
